Building,Building Number,Abbreviation,Precint,City,Floor Plan,FCI,LEED Level,LEED Certification Year,Gross SF,Year Built,Age,Resident or Non-resident,Ownership,Estimated Replacement Cost,Last Renovation Cost,Last Renovation Year,Building Condition,Air Cond,Accessibel Area,Assignable Area,Building Cost,Number of Floors,Last Update,Address
Schenck Forest Picnic Shelter,661A,SF,Outlying,Raleigh,,,,,1200,1976,41,1,1,72574,,,1,1,0,1020,1700,1,14,SR 1775
Scott Hall,68,SC,North,Raleigh,68.pdf,0.21,,,86604,1952,65,1,1,41901505,158850,97,2,6,47254,47296,5116000,4,14,2711 Founders Dr.
Shed(Upiedmont),860J,Z39,Outlying,Reidsville,,,,,1701,1940,77,1,1,102875,,,4,1,0,1276,2500,1,14,1944 Wentworth Rd.
Shed(Upiedmont),860U,Z49,Outlying,Reidsville,,,,,188,1928,89,1,1,11371,,,2,1,0,141,200,1,14,1944 Wentworth Rd.
Shop(Upiedmont),860,Z30,Outlying,Reidsville,,,,,1635,1962,55,1,1,165383,,,1,2,312,1392,9000,1,14,1944 Wentworth Rd.
Shop/Shed (Lowcoastal),855C,Q97,Outlying,Kinston,,,,,2592,1965,52,1,1,219465,,,3,1,0,2333,7380,1,14,200 Cunningham Rd.
Short Game Practice Facility,130J,SGP,West,Raleigh,130j.pdf,,,,4602,1986,31,1,1,359042,,,1,3,2798,2798,131463,1,14,4210 Hillsborough St.
Skeet Building #1 Millstone 4-H Camp,863B,SK1,Outlying,Ellerbe,,,,,84,1995,22,1,5,8636,,,1,1,0,75,,1,14,1296 Mallard Dr.
Skeet Building #2 Millstone 4-H Camp,863C,SK2,Outlying,Ellerbe,,,,,84,1995,22,1,5,8636,,,1,1,0,75,,1,14,1296 Mallard Dr.
Skeet Building #3 Millstone 4-H Camp,863D,SK3,Outlying,Ellerbe,,,,,84,1995,22,1,5,8636,,,1,1,0,75,,1,14,1296 Mallard Dr.
Sleeping Quarters Site 2 (Anita Alta 4-H Outpost Camp),827N,AAN,Outlying,Lenoir,,,,,252,1980,37,1,1,25910,,,3,1,0,228,3213,1,14,Anita Alta 4-H Outpost Camp
Sleeping Quarters Site 2 (Anita Alta 4-H Outpost Camp),827P,AAP,Outlying,Lenoir,,,,,252,1980,37,1,1,25910,,,3,1,0,228,3213,1,14,Anita Alta 4-H Outpost Camp
Sleeping Quarters Site 2 (Anita Alta 4-H Outpost Camp),827Q,AAQ,Outlying,Lenoir,,,,,252,1980,37,1,1,25910,,,3,1,0,228,3213,1,14,Anita Alta 4-H Outpost Camp
Sleeping Quarters Site 2 (Anita Alta 4-H Outpost Camp),827R,AAR,Outlying,Lenoir,,,,,252,1980,37,1,1,25910,,,3,1,0,228,3213,1,14,Anita Alta 4-H Outpost Camp
Slocum Camp Cabin #1,841A,A01,Outlying,Rougemont,841a.pdf,,,,400,1966,51,1,1,55641,,,2,1,0,368,2400,1,14,915 State Forest Rd.
Slocum Camp Cabin #10,841R,R15,Outlying,Rougemont,841r.pdf,,,,400,1965,52,1,1,55641,,,2,1,0,368,4700,1,14,915 State Forest Rd.
Slocum Camp Cabin #11,841S,S16,Outlying,Rougemont,841s.pdf,,,,400,1972,45,1,1,55641,,,2,1,0,368,4700,1,14,915 State Forest Rd.
Slocum Camp Cabin #12,841T,T17,Outlying,Rougemont,841t.pdf,,,,400,1974,43,1,1,55641,,,2,1,0,368,4981,1,14,915 State Forest Rd.
Slocum Camp Cabin #13,841U,U18,Outlying,Rougemont,841u.pdf,,,,400,1976,41,1,1,55641,,,2,1,0,368,3072,1,14,915 State Forest Rd.
Slocum Camp Cabin #14,841V,V19,Outlying,Rougemont,841v.pdf,,,,400,1976,41,1,1,55641,,,2,1,0,368,3072,1,14,915 State Forest Rd.
Slocum Camp Cabin #15,843A,X21,Outlying,Rougemont,843a.pdf,,,,400,2012,5,2,1,60002,,,1,1,360,360,55000,1,14,915 State Forest Rd.
Slocum Camp Cabin #16,843B,Y22,Outlying,Rougemont,843b.pdf,,,,400,2012,5,2,1,60002,,,1,1,180,360,55000,1,14,915 State Forest Rd.
Slocum Camp Cabin #17,843C,Z23,Outlying,Rougemont,843c.pdf,,,,400,2012,5,2,1,60002,,,1,1,360,360,55000,1,14,915 State Forest Rd.
Slocum Camp Cabin #18,843D,AA1,Outlying,Rougemont,843d.pdf,,,,400,2012,5,2,1,60002,,,1,1,360,360,55000,1,14,915 State Forest Rd.
Slocum Camp Cabin #2,841B,B02,Outlying,Rougemont,841b.pdf,,,,400,1966,51,1,1,55641,,,2,1,0,368,2400,1,14,915 State Forest Rd.
Slocum Camp Cabin #3,841C,C03,Outlying,Rougemont,841c.pdf,,,,400,1966,51,1,1,55641,,,2,1,0,368,2400,1,14,915 State Forest Rd.
Slocum Camp Cabin #4,841D,D04,Outlying,Rougemont,841d.pdf,,,,400,1966,51,1,1,55641,,,2,1,0,368,2400,1,14,915 State Forest Rd.
Slocum Camp Cabin #5,841E,E05,Outlying,Rougemont,841e.pdf,,,,400,1966,51,1,1,55641,,,2,1,0,368,2400,1,14,915 State Forest Rd.
Slocum Camp Cabin #6,841F,F06,Outlying,Rougemont,841f.pdf,,,,400,1966,51,1,1,55641,,,2,1,0,368,2400,1,14,915 State Forest Rd.
Slocum Camp Cabin #7,841M,M11,Outlying,Rougemont,841m.pdf,,,,400,1978,39,1,1,55641,,,2,1,0,361,14000,1,14,915 State Forest Rd.
Slocum Camp Cabin #8,841N,N12,Outlying,Rougemont,841n.pdf,,,,400,1978,39,1,1,55641,,,2,1,0,361,14000,1,14,915 State Forest Rd.
Slocum Camp Cabin #9,841P,P13,Outlying,Rougemont,841p.pdf,,,,400,1978,39,1,1,55641,,,2,1,0,361,14000,1,14,915 State Forest Rd.
Slocum Camp Cooks House,841Q,S14,Outlying,Rougemont,841q.pdf,,,,441,1965,52,1,1,86938,,,2,1,0,413,3500,1,14,915 State Forest Rd.
Slocum Camp Equipment Bldg,841H,H08,Outlying,Rougemont,841h.pdf,,,,1015,1978,39,1,1,104355,,,2,1,0,954,32000,1,14,915 State Forest Rd.
Slocum Camp Garage/Storage Shed,842B,B25,Outlying,Rougemont,842b.pdf,,,,715,1934,83,1,1,42335,,,2,1,0,669,2340,1,14,915 State Forest Rd.
Slocum Camp Jerves Classroom Bldg,841G,G07,Outlying,Rougemont,841g.pdf,,,,1600,1978,39,1,1,164502,,,2,1,0,1538,42000,1,14,915 State Forest Rd.
Slocum Camp Kitchen/Dining,843F,CC3,Outlying,Rougemont,843f.pdf,,,,2288,2012,5,1,1,527688,,,1,6,1842,1842,440000,1,14,915 State Forest Rd.
Slocum Camp Lodge,842A,A24,Outlying,Rougemont,842a.pdf,,,,3886,1932,85,1,1,667683,,,2,1,0,2661,14781,2,14,915 State Forest Rd.
Slocum Camp Log Toilet Bldg.,841X,SCT,Outlying,Rougemont,841x.pdf,,,,756,1935,82,1,1,161358,,,2,1,0,704,3980,1,14,915 State Forest Rd.
Slocum Camp New/West Classroom Bldg,843E,BB2,Outlying,Rougemont,843e.pdf,,,,1986,2012,5,1,1,506893,,,1,6,1704,1704,245000,1,14,915 State Forest Rd.
Slocum Camp Office Building,841Y,SCO,Outlying,Rougemont,841y.pdf,,,,651,1935,82,1,1,119046,,,2,1,0,605,2540,1,14,915 State Forest Rd.
Slocum Camp Toilet/Shower Fac,841J,SCS,Outlying,Rougemont,841j.pdf,,,,720,1978,39,1,1,100152,,,2,1,488,536,38000,1,14,915 State Forest Rd.
Slocum Camp Tool/Storage Bldg.,841Z,SLT,Outlying,Rougemont,841z.pdf,,,,1600,1940,77,1,1,164502,,,2,1,0,1528,6335,1,14,915 State Forest Rd.
Slocum Caretakers House,841K,K10,Outlying,Rougemont,841k.pdf,,,,704,1978,39,1,1,126642,,,2,1,0,653,40000,1,14,915 State Forest Rd.
Small Animal Research,163B,SA2,West,Raleigh,163b.pdf,-,,,700,1979,38,1,1,254555,,,2,6,0,607,60000,1,14,3225 Ligon St.
Soil & Water Teaching Center,329E,LSE,Lake Wheeler Site,Raleigh,329e.pdf,,,,420,1999,18,1,1,12702,,,1,6,391,391,10044,1,14,3210 Ordinal Rd.
Solar Bulk Curing Barn,116,SCB,Central,Raleigh,116.pdf,1,,,1550,1981,36,1,1,179512,,,1,1,0,1361,50000,1,14,3110 Faucette Dr.
Solar House,242,SOH,South,Raleigh,242.pdf,0.15,,,2547,1980,37,1,1,770194,,,3,6,1244,1961,127762,2,14,1201 Gorman St.
Solar House Garage,,,,,,-,,,1055,,,,,,,,,,,,,,,
Solar House Storage,242A,SR1,South,Raleigh,242a.pdf,,,,199,2003,14,1,1,74619,,,1,1,0,176,56442,1,14,1201 Gorman St.
Solar House Storage I,,,,,,-,,,199,,,,,,,,,,,,,,,
Solar House Storage II,,,,,,-,,,211,,,,,,,,,,,,,,,
Solar Testing Facility,242C,SR3,South,Raleigh,242c.pdf,,,,947,2009,8,1,1,98393,,,1,1,0,927,50500,1,14,1201 Gorman St.
Soybean Storage Building (Non-NCSU Building),168A,SBS,Central,Raleigh,168a.pdf,,,,,,,,,,,,,,,,,,,3127 Ligon St.
Specialty Crop Large Greenhouse (Cunningham),856L,G3C,Outlying,Kinston,856l.pdf,,,,,,,,,,,,,,,,,,,200 Cunningham Rd.
Spring Hill House,755A,SHH,Centennial,Raleigh,755a.pdf,0.18,,,3351,1850,167,1,1,1044507,,,2,6,1464,2270,684023,2,14,705 Barbour Dr.
Spring Hill Storage,755B,HHS,Centennial,Raleigh,755b.pdf,0.87,,,120,1850,167,1,1,8334,,,2,1,0,107,6732,1,14,705 Barbour Dr.
Spring House(Upiedmont),860W,Z51,Outlying,Reidsville,,,,,228,1928,89,1,1,23441,,,2,1,0,171,3000,1,14,1944 Wentworth Rd.
Srboretum HFL Support Building,,,,,,0.02,,,1792,,,,,,,,,,,,,,,
Staff House At Betsy Jeff Penn 4-H Camp,816M,BJM,Outlying,Reidsville,,,,,3721,1964,53,1,1,598609,,,3,6,0,2934,225120,1,14,804 Cedar Lane
Staff House Millstone 4-H Camp,864Y,MCY,Outlying,Ellerbe,,,,,2559,1979,38,1,5,355959,,,2,6,0,2047,,1,14,1040 Mallard Dr.
Stanly County Agri-Civic Center,999H,ACC,Outlying,Albemarle,,,,,,,,,,,,,,,,,,,,26032-B Newt Rd.
State Employees Credit Union 4-H Learning Center at Millstone 4-H Camp,866E,HLC,Outlying,Ellerbe,866e.pdf,,,,,,,,,,,,,,,,,,,1296 Mallard Dr.
STK TOBACCO BRN 23(L,855U,,,,,,,,320,1939,78,1,1,32900,,,4,1,0,288,2000,1,14,
STK TOBACCO BRN 24(L,855V,,,,,,,,320,1939,78,1,1,32900,,,4,1,0,288,2000,1,14,
Storage Bldg UFL 611,611,SBG,South,Raleigh,611.pdf,,,,1229,1952,65,1,1,127078,,,3,1,0,1149,400,1,14,1401 Varsity Dr.
Storage Bldg UFL 616,616,SBI,South,Raleigh,616.pdf,,,,1326,1935,82,1,1,156380,,,3,1,0,1207,1400,1,14,1407 Varsity Dr.
Storage Bldg(Sandhills),870R,R21,Outlying,Jackson Springs,,,,,280,1992,25,1,1,28788,,,1,1,0,268,1200,1,14,2148 Windblow Rd.
Storage Bldg(Sandhills),870S,S22,Outlying,Jackson Springs,,,,,280,1992,25,1,1,28788,,,1,1,0,126,1200,1,14,2148 Windblow Rd.
Storage Bldg. (Anita Alta 4-H Outpost Camp),827D,AAD,Outlying,Lenoir,,,,,80,1980,37,1,1,8225,,,2,1,0,76,2016,1,14,Anita Alta 4-H Outpost Camp
Storage Bldg. (Anita Alta 4-H Outpost Camp),827E,AAE,Outlying,Lenoir,,,,,80,1980,37,1,1,8225,,,3,1,0,76,246,1,14,Anita Alta 4-H Outpost Camp
Storage Building At Sullivan Drive,124K,LS1,Central,Raleigh,124k.pdf,,,,3736,2011,6,1,1,372658,,,1,1,3484,3484,293420,1,14,610 Motor Pool St.
Storage Building for Reproductive Physiology Lab- CVM Annex,134A,RPA,West,Raleigh,134a.pdf,,,,854,1969,48,1,1,87803,,,2,1,0,814,2400,1,14,1400 Blue Ridge Rd.
Storage Shed #2,242D,SR4,South,Raleigh,,,,,211,2007,10,1,1,17865,,,1,1,0,192,13440,1,14,
Storage Shed #65 DOD - Clayton,807T,S65,Outlying,Clayton,807t.pdf,,,,,,,,,,,,,,,,,,,13223 US 70 West
Storage Shelter - Dail Facility,115E,WSB,Central,Raleigh,115e.pdf,,,,1525,2008,9,1,1,94913,,,1,6,1465,1465,75450,1,14,2505 Cates Ave.
STORAGE SHELTER 1 (L,855Q,,,,,,,,1080,1939,78,1,1,65317,,,3,1,0,972,1000,1,14,
STORAGE SHELTER 2 (L,855R,,,,,,,,480,1939,78,1,1,29030,,,4,1,0,432,500,1,14,
STORAGE SHELTER 3 (L,855S,,,,,,,,430,1939,78,1,1,26006,,,4,1,0,387,500,1,14,
Storage Shelter At Bulk Debris Site,163J,BD3,West,Raleigh,163j.pdf,-,,,240,2011,6,1,1,15240,,,1,1,224,224,12000,1,14,Ligon St.
Storage Unit at Sullivan Drive,,,,,,-,,,3736,,,,,,,,,,,,,,,
Structures Storage Bldg,720D,ESB,Centennial,Raleigh,720d.pdf,,,,186,2002,15,1,1,31386,,,1,6,138,138,18600,1,14,2410 Campus Shore Dr.
Student Health Center Addition,,,,,,,Gold,2012,,2011,6,,,,,,,,,,,,,
Student Health Services Center,63,SHC,Central,Raleigh,63.pdf,,,,66882,1998,19,1,1,14041617,7079047,11,2,6,41103,41103,6614611,3,14,2815 Cates Ave.
Sulliivan Building III recycling,,,,,,-,,,3093,,,,,,,,,,,,,,,
Sullivan Residence Hall,84,SUL,Central,Raleigh,84.pdf,,,,147187,1966,51,2,2,23943184,283740,98,4,6,6187,85411,2316000,12,14,2921 Thurman Dr.
Sullivan Shops Building I,126D,SS1,Central,Raleigh,126d.pdf,,,,14097,2003,14,1,1,2898728,,,1,6,11528,11583,1678683,1,14,625 Motor Pool St.
Sullivan Shops Building I,,,,,,0,,,14097,,,,,,,,,,,,,,,
Sullivan Shops Building II,126E,SS2,Central,Raleigh,126e.pdf,-,,,20243,2005,12,1,1,3917659,,,1,6,13746,13746,2478000,2,14,629 Motor Pool St.
Sullivan Shops Building III,124A,SS3,Central,Raleigh,124a.pdf,-,Silver,2011,13536,1972,45,1,1,2812781,502911,11,1,6,9456,9456,30000,1,14,620 Motor Pool St.
Sullivan Shops Building III Recycling,124B,SSR,Central,Raleigh,124b.pdf,,,,3093,1974,43,1,1,598593,,,1,6,2766,2766,52000,1,14,630 Motor Pool St.
Sullivan Site Storage Shed,124J,STS,Central,Raleigh,,,,,96,1985,32,1,1,9869,,,1,1,0,86,800,1,14,610 Motor Pool St.
Superintendent Dwelling - D1 (Sandhills),870,SDS,Outlying,Jackson Springs,,,,,1800,1951,66,2,1,289572,35000,87,1,6,0,1775,10000,1,14,2148 Windblow Rd.
Supervisor House (Lowcoastal),855H,Q92,Outlying,Kinston,,,,,2575,1962,55,2,1,263924,,,1,6,0,2318,25000,1,14,200 Cunningham Rd.
Swan Quarter Hall - Avent Ferry Residence Hall D,271D,AFD,South,Raleigh,271d.pdf,,,,6132,1979,38,1,2,1352277,,,1,6,4133,4133,600000,1,14,2112 Avent Ferry Rd.
Swimming Pool Filter Bldg - Swannanoa 4-H Camp,801V,SWV,Outlying,Swannanoa,,,,,100,1936,81,1,1,8467,,,3,1,0,90,4750,1,14,170 Woodland Dr.
Swimming Pool Filter House Millstone 4-H Camp,864W,MCW,Outlying,Ellerbe,,,,,1401,1979,38,1,5,144042,,,2,1,0,0,,1,14,1040 Mallard Dr.
Swimming Pool Pm At Betsy Jeff Penn 4-H Camp,816U,BJU,Outlying,Reidsville,,,,,80,1964,53,1,1,5806,,,3,1,75,75,3600,1,14,804 Cedar Lane
Syme Residence Hall,15,SYM,North,Raleigh,15.pdf,,,,47634,1915,102,2,1,12675684,545121,7,2,6,14010,30432,228000,4,14,2210 Baver Dr.
Talley Student Union,102,TSU,Central,Raleigh,102.pdf,,Silver,2015,168772,1972,45,1,2,40828374,134640,7,4,6,99711,125034,3596000,8,14,2610 Cates Ave.
TAU Finishing House - CVM,321,FIN,West,Raleigh,321.pdf,0.01,,,6442,,,,,,,,,,,,,,,1140 Poultry House Lane
TAU Poultry House - CVM,314,TPH,West,Raleigh,314.pdf,,,,,,,,,,,,,,,,,,,1141 Poultry House Lane
Teaching Animal Unit - CVM,305,VTE,West,Raleigh,305.pdf,,,,,,,,,,,,,,,,,,,4700 Terry Curtin Dr.
Team Building-Dail Soccer Field at Derr Track,115J,TDS,Central,Raleigh,115j.pdf,,,,3512,2011,6,1,1,450359,,,1,5,2884,2884,354600,1,14,2505 Cates Ave.
Terry Companion Vet Med Center - CVM (Terry Center),300C,TAC,West,Raleigh,300c.pdf,-,,,129525,,,,,,,,,,,,,,,1052 William Moore Dr.
The Frontier,953,FRN,Outlying,RTP,953.pdf,,,,,,,,,,,,,,,,,,,800 Park Offices Drive
The Plaza Wrightsville Beach,999J,PWB,Outlying,Wrightsville Beach,999j.pdf,,,,,,,,,,,,,,,,,,,"530 Causeway Dr., Ste. F1"
The Point,,,,,,,Silver,2012,,2012,5,,,,,,,,,,,,,
The Point-Chancellors Residence,790A,CRP,Centennial,Raleigh,790a.pdf,,,,16928,2011,6,2,1,3426549,,,1,6,10126,13942,846110,3,14,1570 Main Campus Dr.
The Village at Kannapolis,999G,VKC,Outlying,Kannapolis,999g.pdf,,,,,,,,,,,,,,,,,,,105 West Ave.
Thomas Hall,067B,THM,North,Raleigh,67b.pdf,0.03,,,99386,,,,,,,,,,,,,,,112 Derieux Pl.
THOMAS HALL,67B,,,,,,,,99386,1964,53,1,1,35319700,14916752,7,1,6,65845,66082,26450000,5,14,
Timber Hall-Wolf Village Apartments Bldg E,222E,WVE,Central,Raleigh,222e.pdf,,,,67489,2005,12,2,1,12147399,,,1,6,36595,40353,7653840,6,14,2720 Wolf Village Way
Tobacco Barn (Lowcoastal),855F,Q94,Outlying,Kinston,,,,,935,1965,52,1,1,96130,,,3,1,0,894,6700,1,14,200 Cunningham Rd.
Tobacco Barn(Upiedmont),860P,Z44,Outlying,Reidsville,,,,,324,1935,82,1,1,33311,,,5,1,0,243,1000,1,14,1944 Wentworth Rd.
Tobacco Curing Unit(Upiedmont),860B,Z32,Outlying,Reidsville,,,,,1022,1962,55,1,1,105075,,,1,1,0,495,5000,1,14,1944 Wentworth Rd.
Tobacco Curing Unit(Upiedmont),860C,Z33,Outlying,Reidsville,,,,,3165,1985,32,1,1,191415,,,1,1,0,2374,26000,1,14,1944 Wentworth Rd.
Tobacco Pack House(Upiedmont),860A,Z31,Outlying,Reidsville,,,,,3060,1962,55,1,1,314610,,,1,1,2997,2997,9000,1,14,1944 Wentworth Rd.
Tobacco Packhouse (Lowcoastal),855D,Q96,Outlying,Kinston,,,,,4536,1965,52,1,1,466362,,,2,3,0,3628,14980,1,14,200 Cunningham Rd.
Tompkins Hall,22,T,North,Raleigh,22.pdf,0.16,,,66086,1924,93,1,1,32350566,2000000,81,3,6,31469,32375,200000,4,14,2211 Hillsborough St.
Tower Hall-Wolf Ridge-Building 1,780A,WR1,Centennial,Raleigh,780a.pdf,,,,151126,2013,4,3,1,36578104,,,1,6,96099,96099,30000000,5,14,1900 Entrepreneur Dr.
Toxicology Building,712,TOX,Centennial,Raleigh,712.pdf,0.01,,,61177,2001,16,1,1,29599192,,,1,6,32443,33120,12565460,3,14,850 Main Campus Dr.
Toxicology Parking Deck,712A,TX1,Centennial,Raleigh,712a.pdf,,,,38742,2001,16,1,1,2394952,,,1,1,0,0,1485000,2,14,850 Main Campus Dr.
Tractor Shelter-Storage - Swannanoa 4-H Camp,801X,SWX,Outlying,Swannanoa,,,,,396,1936,81,1,1,23949,,,3,1,0,376,15840,1,14,170 Woodland Dr.
Trap House Millstone 4-H Camp,865Y,TRA,Outlying,Ellerbe,,,,,81,1994,23,1,5,11268,,,1,1,0,0,,1,14,1040 Mallard Dr.
Trickle Irrig Pmphse UFL 206 - Lake Wheeler,810H,X09,Lake Wheeler Site,Raleigh,,,,,96,1981,36,1,1,8127,,,1,1,0,0,300,1,14,3961 Dr. Bill Gilbert Way
Tucker Residence Hall,91,TUC,Central,Raleigh,91.pdf,,,,68780,1947,70,2,1,12904962,1477946,2,2,6,20768,47612,568000,4,14,2800 Cates Ave.
Tuner House Garage,080A,THG,North,Raleigh,80a.pdf,,,,,,,,,,,,,,,,,,,110 Brooks Ave.
Turf Building (Sandhills),870W,STB,Outlying,Jackson Springs,870w.pdf,,,,,,,,,,,,,,,,,,,2148 Windblow Rd.
Turf Storage Bldg 9B (Sandhills),870T,SBT,Outlying,Jackson Springs,870t.pdf,,,,192,1994,23,1,1,17419,,,2,1,0,190,1600,1,14,2148 Windblow Rd.
Turlington Residence Hall,96,TUR,Central,Raleigh,96.pdf,,,,37983,1938,79,2,1,5973694,200000,98,2,6,8735,24356,160000,4,14,2710 Cates Ave.
Turner House,80,TH,North,Raleigh,80.pdf,0.2,,,2097,1967,50,1,1,326817,,,2,5,0,1162,27000,1,14,110 Brooks Ave.
TURNER HOUSE GARAGE,80A,,,,,,,,375,1967,50,1,1,41020,,,2,1,0,325,4200,1,14,
Turner House Garage,,,,,,0.14,,,375,,,,,,,,,,,,,,,
Unit 2 F Mechanical Bldg At Method,172F,U2F,Central,Raleigh,172f.pdf,0.02,,,9395,2002,15,1,1,265756,,,1,6,465,465,157500,1,14,850 Method Rd.
Unit 2 Greenhouse D At Method,172D,U2D,Central,Raleigh,172d.pdf,,,,9395,2002,15,1,1,1704590,,,1,6,6326,8266,880000,1,14,840 Method Rd.
Unit 2 Greenhouse E At Method,172E,U2E,Central,Raleigh,172e.pdf,-,,,9200,2002,15,1,1,1704590,,,1,6,6326,8266,880000,1,14,840 Method Rd.
University College Commons,77,UCC,Central,Raleigh,77.pdf,,,,22916,2007,10,3,1,4423410,,,1,6,12652,12652,3657000,3,14,2751 Cates Ave.
Utility Bldg UFL 494,494,UB,West,Raleigh,,,,,53,1994,23,1,1,6580,,,1,1,0,44,600,1,14,4301 Beryl Rd.
Utility Bldg UFL 496,496,UB2,West,Raleigh,,,,,120,1981,36,1,1,10488,,,2,1,0,114,1200,1,14,4301 Beryl Rd.
Utility Bldg UFL 497,497,UB3,West,Raleigh,,,,,40,1981,36,1,1,4113,,,2,1,0,38,200,1,14,4301 Beryl Rd..
Utility Bldg UFL 498,498,UB4,West,Raleigh,,,,,240,1981,36,1,1,24675,,,2,1,0,228,2400,1,14,4301 Beryl Rd.
Utility Bldg UFL 499,499,UB5,West,Raleigh,,,,,98,1981,36,1,1,10075,,,2,1,0,96,960,1,14,4301 Beryl Rd.
Utility Building 494,,,,,,-,,,53,,,,,,,,,,,,,,,
Utility Building 496,,,,,,0.03,,,120,,,,,,,,,,,,,,,
Utility Building 497,,,,,,0.19,,,40,,,,,,,,,,,,,,,
Utility Building 498,,,,,,0.07,,,240,,,,,,,,,,,,,,,
Utility building 499,,,,,,0.23,,,98,,,,,,,,,,,,,,,
Utility Building Rprl - CVM,134D,RPD,West,Raleigh,134d.pdf,,,,284,1982,35,1,1,33106,,,3,1,261,261,1000,1,14,1400 Blue Ridge Rd.
Valley Hall-Wolf Ridge-Building 4,780D,WR4,Centennial,Raleigh,780d.pdf,,,,84458,2014,3,2,1,16831801,,,1,6,54370,54370,16200000,5,14,351 Initiative Way
Varsity Research Building,250A,VRB,South,Raleigh,250a.pdf,0.07,,,54745,2003,14,1,1,22752022,,,1,6,32495,32495,5576379,2,14,1575 Varsity Dr.
Venture I,750,VC1,Centennial,Raleigh,750.pdf,,,,,,,,,,,,,,,,,,,940 Main Campus Dr.
Venture II,752,VC2,Centennial,Raleigh,752.pdf,,,,23613,1999,18,1,4,8586867,,,1,6,17282,17282,,1,14,920 Main Campus Dr.
Venture III,753,VC3,Centennial,Raleigh,753.pdf,,,,2633,2002,15,1,4,614828,,,1,6,1966,1966,,1,14,900 Main Campus Dr.
Venture IV,754,VC4,Centennial,Raleigh,754.pdf,,,,21588,2004,13,1,4,7850476,,,1,6,4804,4804,,1,14,1730 Varsity Dr.
Venture Place,751,VTP,Centennial,Raleigh,751.pdf,,,,,,,,,,,,,,,,,,,930 Main Campus Dr.
Vet School East Barn,,,,,,0.11,,,11880,,,,,,,,,,,,,,,
Vet School Milking Parlor,,,,,,0.4,,,1249,,,,,,,,,,,,,,,
Vet School Unit 1 (Finger Barn 1) - CVM,307,VTG,West,Raleigh,307.pdf,0.16,,,5690,,,,,,,,,,,,,,,4800 Terry Curtin Dr.
Vet School Unit 2,,,,,,0.15,,,7076,,,,,,,,,,,,,,,
Vet School Unit 2 (Finger Barn 2) - CVM,308,VTH,West,Raleigh,308.pdf,,,,,,,,,,,,,,,,,,,4810 Terry Curtin Dr.
Vet School Unit 3,,,,,,0.2,,,6986,,,,,,,,,,,,,,,
Vet School Unit 3 (Finger Barn 3) - CVM,309,VTI,West,Raleigh,309.pdf,,,,,,,,,,,,,,,,,,,4820 Terry Curtin Dr.
Vet School Unit 4,,,,,,0.2,,,6966,,,,,,,,,,,,,,,
Vet School Unit 4 (Finger Barn 4) - CVM,310,VTJ,West,Raleigh,310.pdf,,,,,,,,,,,,,,,,,,,4830 Terry Curtin Dr.
Vet School Unit 5,,,,,,0.2,,,6382,,,,,,,,,,,,,,,
Vet School Unit 5 (Finger Barn 5) - CVM,311,VTK,West,Raleigh,311.pdf,,,,,,,,,,,,,,,,,,,4840 Terry Curtin Dr.
Vet School West Barn,,,,,,0.13,,,13248,,,,,,,,,,,,,,,
Wagoner Learning Center At Betsy Jeff Penn 4-H Camp,817A,BJ1,Outlying,Reidsville,,,,,7296,1980,37,1,1,755857,,,3,6,0,5081,229824,1,14,804 Cedar Lane
Walk in Cooler 458,,,,,,0.32,,,286,,,,,,,,,,,,,,,
Walk-In Cooler Horticulture,464,WAL,West,Raleigh,464.pdf,,,,286,1991,26,1,1,49579,,,1,6,0,252,30000,1,14,4301 Beryl Rd.
Walk-In Cooler UFL 458,458,WIC,West,Raleigh,458.pdf,,,,286,1988,29,1,1,39356,,,2,1,0,246,1500,1,14,4301 Beryl Rd.
Walk-In Cooler UFL 47,407,COO,West,Raleigh,407.pdf,0.36,,,287,1979,38,1,1,39700,,,2,6,0,264,15000,1,14,4301 Beryl Rd.
Wash Building,323,CHE,West,Raleigh,323.pdf,,,,,,,,,,,,,,,,,,,1120 Poultry House Lane
Waste Treatment Bldg at MRC,720E,WTB,Centennial,Raleigh,720e.pdf,,,,,,,,,,,,,,,,,,,2410 Campus Shore Dr.
Watauga Residence Hall,10,WAT,North,Raleigh,10.pdf,,,,34162,1903,114,2,1,10330349,2002000,14,2,6,19453,19504,937090,5,14,2200 Katharine Stinson Dr.
Waterfront Shed At Betsy Jeff Penn 4-H Camp,816V,BJV,Outlying,Raleigh,,,,,50,1997,20,1,1,2598,,,2,1,0,47,800,1,14,804 Cedar Lane
Weaver Administration Bldg,117A,WAB,Central,Raleigh,117a.pdf,,,,9746,1956,61,1,1,3037828,,,4,6,2537,5393,87714,2,14,3100 Faucette Dr.
Weaver Administrative Building,,,,,,0.46,,,9746,,,,,,,,,,,,,,,
Weaver Lab Gasificiation Research Shelter,117C,WLC,Central,Raleigh,117c.pdf,,,,1206,2013,4,1,1,12890,,,1,1,1191,1191,12405,1,14,3112 Faucette Dr.
Weaver Labs Garage,117B,WLB,Central,Raleigh,117b.pdf,,,,5578,1956,61,1,1,578738,,,4,1,5193,5193,24788,1,14,3112 Faucette Dr.
Weavers Labs Garage,,,,,,0.57,,,5629,,,,,,,,,,,,,,,
Weed Control Lab,166,WCL,Central,Raleigh,166.pdf,0.29,,,8238,1968,49,1,1,2742397,,,2,4,3474,5834,80000,2,14,3121 Ligon St.
